frame,DetObj#,x,y,z,v,snr,noise
21,6,2.691418409347534,1.5538914203643799,1.7942789793014526,-0.7139989733695984,116,524
21,7,1.2526549100875854,3.0683655738830566,2.2547788619995117,-0.7139989733695984,64,517
21,8,-0.5583261847496033,4.249794006347656,-1.2562339305877686,-0.42839938402175903,192,527
21,9,2.168882369995117,2.087008237838745,2.409869432449341,-0.28559958934783936,49,488
21,10,-0.2839350998401642,4.389530181884766,-1.1357403993606567,-0.28559958934783936,201,519
21,11,0.8112431764602661,1.9248872995376587,1.5413620471954346,-0.14279979467391968,93,450
21,12,0.6764336228370667,2.7856571674346924,1.1596004962921143,-0.14279979467391968,78,459
21,13,0.6764336228370667,2.233046531677246,-2.0293009281158447,-0.14279979467391968,78,459
22,0,0.7408559322357178,1.9181878566741943,1.6463464498519897,0.0,152,444
22,1,-0.41516563296318054,4.267665863037109,-1.1071083545684814,0.0,112,462
22,2,1.264585018157959,3.097587823867798,2.2762529850006104,-1.2851982116699219,177,443
22,3,0.687170684337616,2.0458996295928955,1.1452844142913818,-0.8567987680435181,271,455
22,4,0.668082594871521,2.3082714080810547,1.1691445112228394,-0.8567987680435181,292,573
22,5,0.7253468036651611,2.5500223636627197,1.1786885261535645,-0.8567987680435181,76,548
22,6,0.6346784830093384,2.1741507053375244,-1.8133670091629028,-0.8567987680435181,76,548
22,7,-0.41516563296318054,4.137794494628906,-1.5222740173339844,-0.5711991786956787,245,504
22,8,-0.42590266466140747,4.294371604919434,-1.4196754693984985,-0.5711991786956787,90,551
22,9,0.8792444467544556,1.7926722764968872,1.5986262559890747,-0.42839938402175903,203,465
22,10,-3.206796646118164,1.9953200817108154,2.0042479038238525,-0.42839938402175903,77,517
22,11,0.2672330439090729,3.897848606109619,1.7370147705078125,-0.42839938402175903,77,517
22,12,0.8923675417900085,1.81942880153656,1.6224863529205322,-0.28559958934783936,207,460
22,13,-0.2887071371078491,4.4234418869018555,-1.2991821765899658,-0.28559958934783936,75,527
22,14,1.0164400339126587,1.8557571172714233,1.6940666437149048,-0.14279979467391968,186,460
22,15,0.9317366480827332,2.2948195934295654,-1.1011433601379395,-0.14279979467391968,186,460
22,16,-0.5440101027488708,3.9976415634155273,-1.6320302486419678,-0.14279979467391968,76,500
23,0,0.8923675417900085,1.4669826030731201,1.9469836950302124,0.0,176,466
23,1,0.7062587738037109,2.4401726722717285,1.2359528541564941,-1.2851982116699219,127,456
23,2,0.6179764270782471,2.252497673034668,-1.5890822410583496,-1.2851982116699219,127,456
23,3,-0.1419675499200821,4.430661201477051,-0.9937728643417358,-1.2851982116699219,80,459
23,4,1.240724802017212,2.84014892578125,2.481449604034424,-1.1423983573913574,93,457
23,5,0.9317366480827332,1.8206292390823364,1.7787699699401855,-0.8567987680435181,166,547
23,6,0.6656965613365173,1.9387069940567017,1.1834605932235718,-0.7139989733695984,228,463
23,7,0.7193818092346191,2.0950543880462646,1.2789009809494019,-0.7139989733695984,282,559
23,8,-0.41516563296318054,4.186110496520996,-1.383885383605957,-0.7139989733695984,268,490
23,9,-0.5440101027488708,4.050501346588135,-1.4960278272628784,-0.5711991786956787,265,496
23,10,1.5461339950561523,0.9818769097328186,0.05726422369480133,-0.14279979467391968,71,445
23,11,-2.982511520385742,3.180957078933716,1.9386324882507324,-0.14279979467391968,61,496
24,0,0.7754529714584351,1.7042332887649536,1.6284513473510742,0.0,206,428
24,1,-0.41874462366104126,4.222197532653809,-1.3958154916763306,0.14279979467391968,86,466
24,2,0.6346784830093384,2.4830551147460938,1.3600252866744995,-1.7135975360870361,165,446
24,3,0.6346784830093384,2.313375949859619,-1.6320302486419678,-1.7135975360870361,165,446
24,4,0.9162275791168213,1.4304598569869995,1.7561028003692627,-1.5707976818084717,257,439
24,5,0.6979076862335205,1.9830988645553589,1.3182700872421265,-1.1423983573913574,285,459
24,6,-0.26961904764175415,4.088975429534912,-1.348095178604126,-1.1423983573913574,192,485
24,7,-0.5821862816810608,4.385760307312012,-1.4554656744003296,-0.9995985627174377,65,523
24,8,1.0856342315673828,1.6085225343704224,1.8372271060943604,-0.8567987680435181,135,514
24,9,0.7873830795288086,1.9841428995132446,1.3385512828826904,-0.7139989733695984,239,544
